storm_id,storm_name,datetime,year,month,day,hour,record_id,status,lat,lon,max_wind_kt,min_slp_mb
AL011950,ABLE,1950-08-12 00:00:00,1950,8,12,0,,TS,17.1,-55.5,35,-999
AL011950,ABLE,1950-08-12 06:00:00,1950,8,12,6,,TS,17.7,-56.3,40,-999
AL011950,ABLE,1950-08-12 12:00:00,1950,8,12,12,,TS,18.2,-57.4,45,-999
AL011950,ABLE,1950-08-12 18:00:00,1950,8,12,18,,TS,19.0,-58.6,50,-999
AL011950,ABLE,1950-08-13 00:00:00,1950,8,13,0,,TS,20.0,-60.0,50,-999
AL011950,ABLE,1950-08-13 06:00:00,1950,8,13,6,,TS,20.7,-61.1,50,-999
AL011950,ABLE,1950-08-13 12:00:00,1950,8,13,12,,TS,21.3,-62.2,55,-999
AL011950,ABLE,1950-08-13 18:00:00,1950,8,13,18,,TS,22.0,-63.2,55,997
AL011950,ABLE,1950-08-14 00:00:00,1950,8,14,0,,TS,22.7,-63.8,60,995
AL011950,ABLE,1950-08-14 06:00:00,1950,8,14,6,,TS,23.1,-64.6,60,-999
AL011950,ABLE,1950-08-14 12:00:00,1950,8,14,12,,TS,23.4,-65.4,60,995
AL011950,ABLE,1950-08-14 18:00:00,1950,8,14,18,,HU,23.9,-66.0,65,989
AL011950,ABLE,1950-08-15 00:00:00,1950,8,15,0,,HU,24.4,-66.2,65,-999
AL011950,ABLE,1950-08-15 06:00:00,1950,8,15,6,,HU,24.8,-66.5,65,-999
AL011950,ABLE,1950-08-15 12:00:00,1950,8,15,12,,HU,25.2,-66.8,70,987
AL011950,ABLE,1950-08-15 18:00:00,1950,8,15,18,,HU,25.5,-67.5,75,-999
AL011950,ABLE,1950-08-16 00:00:00,1950,8,16,0,,HU,25.7,-68.1,80,-999
AL011950,ABLE,1950-08-16 06:00:00,1950,8,16,6,,HU,25.7,-68.7,80,-999
AL011950,ABLE,1950-08-16 12:00:00,1950,8,16,12,,HU,25.5,-69.3,80,980
AL011950,ABLE,1950-08-16 18:00:00,1950,8,16,18,,HU,25.4,-69.8,85,-999
AL011950,ABLE,1950-08-17 00:00:00,1950,8,17,0,,HU,25.4,-70.6,90,-999
AL011950,ABLE,1950-08-17 06:00:00,1950,8,17,6,,HU,25.4,-71.5,95,-999
AL011950,ABLE,1950-08-17 12:00:00,1950,8,17,12,,HU,25.5,-72.6,100,962
AL011950,ABLE,1950-08-17 18:00:00,1950,8,17,18,,HU,25.9,-73.3,100,-999
AL011950,ABLE,1950-08-18 00:00:00,1950,8,18,0,,HU,26.7,-73.9,100,-999
AL011950,ABLE,1950-08-18 06:00:00,1950,8,18,6,,HU,27.3,-74.4,100,-999
AL011950,ABLE,1950-08-18 12:00:00,1950,8,18,12,,HU,27.9,-74.9,100,958
AL011950,ABLE,1950-08-18 18:00:00,1950,8,18,18,,HU,28.4,-75.3,105,-999
AL011950,ABLE,1950-08-19 00:00:00,1950,8,19,0,,HU,29.1,-75.5,105,-999
AL011950,ABLE,1950-08-19 06:00:00,1950,8,19,6,,HU,29.9,-75.5,105,-999
AL011950,ABLE,1950-08-19 12:00:00,1950,8,19,12,,HU,30.7,-75.5,105,953
